2025-12-15 22:04:40.068 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://descontostop.com/grupo-promocoes-whatsapp-telegram-cupom-desconto/
2025-12-16 06:44:49.330 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-16 06:44:49.656 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-16 06:44:49.657 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-16 06:44:50.636 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-16 06:44:50.776 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-16 06:44:50.921 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-16 06:44:51.064 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-16 06:44:51.205 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-16 06:44:51.205 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 11 canais válidos.
2025-12-16 07:00:52.179 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 07:00:59.310 | SUCCESS  | src.infrastructure.whatsapp_client:enviar_oferta:30 - ✅ Postado no WhatsApp com sucesso!
2025-12-16 07:00:59.310 | SUCCESS  | __main__:processar_oferta:102 - 📱 Oferta AMAZON enviada para seu WhatsApp: https://www.amazon.com.br/dp/B0CMYGGQL6?...
2025-12-16 07:00:59.948 | SUCCESS  | __main__:processar_oferta:117 - 🐦 Postado no X (1/15)
2025-12-16 07:10:52.479 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:15:52.393 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:23:53.555 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://pt.aliexpress.com/item/1005007525724006.html
2025-12-16 07:25:52.509 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:30:34.974 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:35:21.110 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:37:53.357 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://shopee.com.br/m/cupom-de-desconto
2025-12-16 07:37:54.734 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (None) ignorado: https://shopee.com.br/Celular-Xiaomi-POCO-C85-4G-Tela-LCD-6.9-C%C3%A2mera-50MP-Vers%C3%A3o-Global-Original-i.287459314.23798830104
2025-12-16 07:40:12.027 | INFO     | __main__:<module>:147 - 🚫 Bot desligado manualmente.
2025-12-16 07:40:17.768 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-16 07:40:18.092 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-16 07:40:18.092 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-16 07:40:19.084 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-16 07:40:19.229 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-16 07:40:19.370 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-16 07:40:19.509 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-16 07:40:19.647 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-16 07:40:19.647 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 11 canais válidos.
2025-12-16 07:45:24.064 | INFO     | __main__:processar_oferta:83 - 🚫 Link não Amazon (MERCADO LIVRE) ignorado: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:55:57.167 | INFO     | __main__:processar_oferta:73 - ♻️ Oferta repetida ignorada: https://www.mercadolivre.com.br/social/promozonevip
2025-12-16 07:59:00.644 | INFO     | __main__:<module>:147 - 🚫 Bot desligado manualmente.
2025-12-16 07:59:03.715 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-16 07:59:04.032 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-16 07:59:04.033 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-16 07:59:05.326 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-16 07:59:05.327 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @grupo_promocoes@promosdodia -> IGNORADO.
2025-12-16 07:59:05.492 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-16 07:59:05.635 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-16 07:59:05.775 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-16 07:59:05.916 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-16 07:59:05.916 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 10 canais válidos.
2025-12-16 07:59:18.778 | INFO     | __main__:<module>:147 - 🚫 Bot desligado manualmente.
2025-12-16 07:59:21.366 | INFO     | __main__:<module>:20 - 🐭 INICIANDO O RATO GARIMPEIRO ENTERPRISE (Modo AMAZON/WHATSAPP)...
2025-12-16 07:59:21.675 | SUCCESS  | __main__:<module>:26 - ✅ Sistemas Core iniciados!
2025-12-16 07:59:21.675 | SUCCESS  | __main__:<module>:38 - 🐦 Twitter/X Conectado com sucesso!
2025-12-16 07:59:22.659 | INFO     | __main__:main:127 - 👀 Validando canais fonte (Este passo pode demorar alguns segundos)...
2025-12-16 07:59:22.796 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @tecdicas -> IGNORADO.
2025-12-16 07:59:22.937 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasdevideo -> IGNORADO.
2025-12-16 07:59:23.122 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @ofertasparacasa -> IGNORADO.
2025-12-16 07:59:23.289 | ERROR    | __main__:resolve_safe_channels:58 - ❌ Canal inválido ou não existente: @livrosepromocao -> IGNORADO.
2025-12-16 07:59:23.289 | SUCCESS  | __main__:main:137 - ✅ Monitoramento iniciado com 12 canais válidos.
2025-12-16 07:59:43.126 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
2025-12-16 07:59:43.127 | INFO     | __main__:processar_oferta:86 - 🔎 Processando: AMAZON | Modo: 🤖 AUTO
2025-12-16 07:59:43.457 | ERROR    | src.core.link_router:processar:65 - Erro ao processar link Amazon: 'Settings' object has no attribute 'MINHA_TAG_AMAZON'
